name,price,power,gvw,milage,engine,fuel_tank,payload,fuel_type
Tata Yodha Pickup,8.54,98.0,3490.0,,2200.0,45.0,1700.0,Diesel
Tata Ace gold,4.21,19.0,1670.0,22.0,700.0,30.0,750.0,
Mahindra Jeeto,4.38,16.0,1345.0,32.86,670.0,10.5,600.0,
Tata Intra V30,8.11,70.0,2565.0,14.0,1496.0,35.0,1300.0,
Force Urbania,28.99,115.0,3625.0,11.0,2596.0,70.0,,
Ashok Leyland Dost+,7.75,80.0,2805.0,19.6,1478.0,40.0,1500.0,
Ashok Leyland BADA DOST,8.15,80.0,3490.0,13.0,1478.0,50.0,1860.0,
Tata Ace EV,9.21,36.0,1840.0,,,,600.0,Electric
Tata Intra V50,8.9,80.0,2940.0,17.0,1496.0,35.0,1500.0,
Mahindra Bolero Maxx Pik-Up,7.68,65.0,2825.0,17.2,2523.0,45.0,1300.0,
Mahindra Bolero Pikup 4x4,8.8,75.0,2735.0,13.0,2523.0,57.0,1015.0,
Maruti Suzuki Super Carry,4.73,64.0,1600.0,23.24,1196.0,70.0,625.0,
Tata Intra V10,7.28,44.0,2120.0,,798.0,30.0,1000.0,Diesel
Mahindra Supro Profit Truck Mini,5.71,26.0,1802.0,23.3,909.0,30.0,900.0,
Mahindra Bolero Pikup CNG,8.95,67.0,2990.0,19.0,2523.0,140.0,1190.0,
Mahindra Supro Profit Truck Maxi,6.84,47.0,2185.0,21.94,909.0,33.0,1050.0,
Tata Intra V20 Bi Fuel,8.5,53.0,2275.0,,1199.0,2.5,1000.0,CNG+Petrol
Tata Yodha 2.0,9.99,100.0,3840.0,12.0,2200.0,45.0,2000.0,
Mahindra Bolero Maxx Pik-Up,7.68,65.0,2825.0,17.2,2523.0,45.0,1300.0,
Mahindra Bolero Pikup 4x4,8.8,75.0,2735.0,13.0,2523.0,57.0,1015.0,
Maruti Suzuki Super Carry,4.73,64.0,1600.0,23.24,1196.0,70.0,625.0,
Tata Intra V10,7.28,44.0,2120.0,,798.0,30.0,1000.0,Diesel
Mahindra Supro Profit Truck Mini,5.71,26.0,1802.0,23.3,909.0,30.0,900.0,
Mahindra Bolero Pikup CNG,8.95,67.0,2990.0,19.0,2523.0,140.0,1190.0,
Mahindra Supro Profit Truck Maxi,6.84,47.0,2185.0,21.94,909.0,33.0,1050.0,
Tata Intra V20 Bi Fuel,8.5,53.0,2275.0,,1199.0,2.5,1000.0,CNG+Petrol
Tata Yodha 2.0,9.99,100.0,3840.0,12.0,2200.0,45.0,2000.0,
Ashok Leyland Dost Strong,7.49,70.0,2590.0,19.6,1478.0,40.0,1350.0,
Mahindra Bolero Maxitruck Plus,7.02,65.0,2700.0,17.2,2523.0,45.0,1200.0,
Mahindra Bolero City Pikup,7.2,65.0,2990.0,13.0,2523.0,45.0,1400.0,
Mahindra Bolero Maxx Pik-Up HD,,80.0,3895.0,,,60.0,2000.0,
Isuzu S-CAB,9.82,78.0,2850.0,16.56,2499.0,55.0,1100.0,
Ashok Leyland DOST CNG,7.79,45.0,2545.0,320.0,1478.0,120.0,1208.0,
Tata Winger Cargo,13.3,98.0,3490.0,14.0,2179.0,60.0,1680.0,
Mahindra Bolero Pikup ExtraLong,8.46,75.0,3490.0,13.0,2523.0,60.0,1700.0,
Mahindra Imperio,7.32,75.0,2990.0,13.55,2489.0,55.0,1240.0,
Mahindra Bolero Pikup ExtraStrong,8.56,75.0,2995.0,14.3,2523.0,57.0,1280.0,
Maruti Suzuki Eeco Cargo,3.91,72.0,1510.0,16.56,1196.0,40.0,920.0,
Mahindra Bolero Maxitruck CNG,7.26,67.0,2750.0,17.6,2523.0,150.0,1150.0,
Mahindra Bolero Camper,8.86,75.0,2735.0,15.1,2523.0,57.0,1000.0,
Isuzu D-MAX,8.32,78.0,3490.0,14.4,2499.0,55.0,1710.0,
Ashok Leyland DOST LiTE,7.25,70.0,2590.0,19.6,1478.0,40.0,1250.0,
Mahindra Supro Profit Truck Cng Duo,,20.0,1850.0,23.35,909.0,5.0,750.0,
Toyota Hilux,33.99,201.0,2910.0,,2755.0,80.0,470.0,
Isuzu D-MAX V-Cross,19.98,163.0,2850.0,12.4,1898.0,52.0,,
Isuzu S-CAB Z,15.0,78.0,2850.0,,2499.0,55.0,935.0,
Triton Ev Semi Truck,,335.0,,,,,,Electric
Mahindra Loadking Optimo,,81.0,6950.0,,2500.0,60.0,,
OSM M1KA 1.0,,60.0,,,,,1000.0,
Isuzu Hi-Lander,19.5,163.0,,12.0,1898.0,,225.0,
EKA K1.5,16.3,80.0,2510.0,,,,,Electric
SML Isuzu Reefer Van,,,10700.0,6.0,3455.0,90.0,,
SML Isuzu Prestige Dual Cab,19.87,100.0,6440.0,,3455.0,90.0,3084.0,
Jupiter JEM TEZ,,,2200.0,,,,1000.0,
Jupiter Ev Star CC,,,7000.0,,,,4000.0,
