name,brand,price,power,gvw,milage,engine,fuel_tank,payload,fuel_type
Bajaj Maxima Xl Cargo E-TEC 12.0,Bajaj,3.77,7.0,,,,,,Electric
Piaggio Ape Xtra LDX,Piaggio,2.45,9.4,975.0,22.0,599.0,10.5,,
Bajaj Maxima C,Bajaj,2.83,10.0,965.0,33.0,470.5,8.0,,Diesel
Mahindra Alfa Plus,Mahindra,2.59,9.0,995.0,29.4,597.0,,505.0,Diesel
Mahindra Treo Zor,Mahindra,3.13,10.0,995.0,,,,550.0,
Mahindra Zor Grand,Mahindra,3.5,12.0,998.0,,,,,
Piaggio Ape E Xtra FX,Piaggio,3.12,12.0,975.0,,,,506.0,
Atul Shakti Cargo,Atul,2.83,9.38,1020.0,36.0,598.0,7.0,,
Euler Motors Hi Load,Euler,3.94,14.0,1413.0,,,,688.0,Electric
Mahindra E-Alfa Cargo,Mahindra,1.56,1.34,780.0,80.0,,,310.0,
Piaggio Ape Xtra LDX Plus,Piaggio,2.66,9.39,975.0,36.0,597.7,10.0,,
Mini Metro White E Rickshaw Loader,Mini,1.15,1.14,,,,,500.0,
TVS King Kargo,TVS,2.1,9.0,864.0,,225.8,33.0,,
Atul GEM Cargo,Atul,2.66,9.0,1020.0,,395.0,40.0,500.0,
Altigreen neEV High Deck,Altigreen,4.36,11.0,950.0,120.0,,,550.0,Electric
Piaggio Ape E Xtra FX Max,Piaggio,3.46,,505.0,,,,,
Euler Motors Hi Load,Euler,3.94,14.0,1413.0,,,,688.0,Electric
Mahindra E-Alfa Cargo,Mahindra,1.56,1.34,780.0,80.0,,,310.0,
Piaggio Ape Xtra LDX Plus,Piaggio,2.66,9.39,975.0,36.0,597.7,10.0,,
Mini Metro White E Rickshaw Loader,Mini,1.15,1.14,,,,,500.0,
TVS King Kargo,TVS,2.1,9.0,864.0,,225.8,33.0,,
Atul GEM Cargo,Atul,2.66,9.0,1020.0,,395.0,40.0,500.0,
Altigreen neEV High Deck,Altigreen,4.36,11.0,950.0,120.0,,,550.0,Electric
Piaggio Ape E Xtra FX Max,Piaggio,3.46,,505.0,,,,,
YC Electric E Loader,YC,1.35,1.0,693.0,,,,400.0,Electric
Dandera Otua,Dandera,3.8,17.0,,,,,900.0,Electric
SN Solar Energy Electric Rickshaw Loader,SN,0.87,,,,,,500.0,
Kinetic Safar Shakti,Kinetic,1.5,1.0,713.0,,,,380.0,
Atul Elite Cargo,Atul,1.04,1.34,699.0,,,,,
Altigreen neEV Low Deck,Altigreen,4.07,11.0,950.0,120.0,,,550.0,Electric
Kinetic Safar Jumbo,Kinetic,3.15,10.0,990.0,,,,500.0,Electric
SN Solar Energy Loading Electric Rickshaw,SN,0.78,,,,,,500.0,
Piaggio Ape Xtra LDX HT,Piaggio,2.46,9.6,975.0,40.0,231.0,40.0,496.0,
E-Ashwa E Loader,E-Ashwa,1.31,,,,,,300.0,Electric
Altigreen neEV TEZ,Altigreen,3.55,11.0,950.0,,,,550.0,Electric
OSM Rage Plus,OSM,3.7,12.0,960.0,,,,500.0,
YC Electric Yatri Cart,YC,1.6,1.88,742.0,90.0,,,400.0,Electric
JSA E Cart,JSA,1.4,1.0,322.0,,,,,
SN Solar Energy E Rickshaw Loader,SN,1.45,,,80.0,,,500.0,
City Life Loader XV850,City,1.06,,,,,,400.0,Electric
SN Solar Energy Battery Rickshaw Loader,SN,0.93,1.34,,,,,500.0,
Baxy Super King,Baxy,4.1,8.0,,,396.0,,,CNG
SN Solar Energy Battery Operated E Rickshaw Loader,SN,0.9,1.34,,,,,,
Atul Smart Cargo,Atul,2.77,9.38,1066.0,,395.0,40.0,,
Lohia Narain XiV,Lohia,2.07,1.0,688.0,,,,320.0,
Gkon Gkon Cargo,Gkon,0.6,1.34,,,,,500.0,Electric
Gkon Veer Cargo,Gkon,0.59,1.34,211.0,,,,500.0,Electric
Gkon E Cart Cargo,Gkon,0.6,,,,,,500.0,Electric
Gkon MS Cargo,Gkon,0.6,1.34,211.0,,,,500.0,Electric
Gkon Gkon Loader,Gkon,0.65,,,,,,1000.0,Electric
SN Solar Energy Electric Loader,SN,0.72,,,,,,500.0,
Saarthi Shaktiman,Saarthi,1.25,,,,,,,
City Life Loader XV850 Closed Body 2020,City,1.08,,,,,,400.0,Electric
Mini Metro LD 400 Open Loader,Mini,1.15,,,,,,400.0,
Mini Metro Cover Body Electric Loader,Mini,1.71,1.61,,,,,500.0,
Mini Metro Electric Cargo Rickshaw,Mini,1.15,1.61,,,,,400.0,
Mini Metro Electric double decker,Mini,1.2,,,,,,400.0,
Thukral Electric EC 1,Thukral,1.3,1.55,,,,,312.0,
Lohia Narain XiW,Lohia,1.85,,670.0,,,,290.0,
Keto Bulke Plus 2.2,Keto,3.7,,1098.0,100.0,,,,
Avon E-KART 207,Avon,1.26,,,,,,,Electric
Terra Motors Pace-E Cargo,Terra,1.35,,336.0,80.0,,,500.0,
GreenRick E-Cart,GreenRick,1.25,1.0,,,,,,
GreenRick Super Cart,GreenRick,1.55,1.0,,,,,,Electric
Baxy Super King Twin Cylinder,Baxy,3.13,8.0,,,396.0,,,CNG
Baxy Super M-TEC,Baxy,3.1,8.0,,,430.0,,,Diesel
Jitendra JET 650 Cargo,Jitendra,1.4,,,,,,,Electric
Erisha E Superior,Erisha,3.88,14.0,1200.0,,,,700.0,Electric
E-Ashwa E-Garbage Cart,E-Ashwa,1.24,,,,,,,Electric
Greaves D435 Cargo-Powered by Greaves,Greaves,2.9,10.0,775.0,,599.0,10.5,500.0,Diesel
Greaves C399 Cargo-Powered by Greaves,Greaves,2.99,10.0,996.0,,599.0,40.0,500.0,CNG
Greaves D599 Plus Cargo-Powered by Greaves,Greaves,3.0,,980.0,,599.0,10.5,500.0,Diesel
Greaves E-Pro Cargo,Greaves,3.08,10.0,996.0,,,,536.0,Electric
